Date,Year,Expenditure in Billions,Features
1/1/2007,2007,47.52,Nonprofit nursing homes services to households
1/1/2008,2008,48.76,Nonprofit nursing homes services to households
1/1/2009,2009,51.25,Nonprofit nursing homes services to households
1/1/2010,2010,52.73,Nonprofit nursing homes services to households
1/1/2011,2011,53.85,Nonprofit nursing homes services to households
1/1/2012,2012,54.69,Nonprofit nursing homes services to households
1/1/2013,2013,55,Nonprofit nursing homes services to households
1/1/2014,2014,55.7,Nonprofit nursing homes services to households
1/1/2015,2015*,56.05,Nonprofit nursing homes services to households
1/1/2016,2016*,58.01,Nonprofit nursing homes services to households
1/1/2017,2017*,58.91,Nonprofit nursing homes services to households
1/1/2018,2018*,59.28,Nonprofit nursing homes services to households
1/1/2019,2019*,60.79,Nonprofit nursing homes services to households
1/1/2000,2000,31.06,Nonprofit nursing homes services to households
1/1/2001,2001,57.89,"Medical products, appliances and equipment"
1/1/2002,2002,61.95,"Medical products, appliances and equipment"
1/1/2003,2003,66.82,"Medical products, appliances and equipment"
1/1/2004,2004,72.47,"Medical products, appliances and equipment"
1/1/2005,2005,78.7,"Medical products, appliances and equipment"
1/1/2006,2006,85.56,"Medical products, appliances and equipment"
1/1/2007,2007,93.38,"Medical products, appliances and equipment"
1/1/2008,2008,96.53,"Medical products, appliances and equipment"
1/1/2009,2009,98.29,"Medical products, appliances and equipment"
1/1/2010,2010,104.22,"Medical products, appliances and equipment"
1/1/2011,2011,110.86,"Medical products, appliances and equipment"
1/1/2012,2012,116.2,"Medical products, appliances and equipment"
1/1/2013,2013,120.21,"Medical products, appliances and equipment"
1/1/2014,2014,124.53,"Medical products, appliances and equipment"
1/1/2015,2015*,130.98,"Medical products, appliances and equipment"
1/1/2016,2016*,135.53,"Medical products, appliances and equipment"
1/1/2017,2017*,140.13,"Medical products, appliances and equipment"
1/1/2018,2018*,146.08,"Medical products, appliances and equipment"
1/1/2019,2019*,152.76,"Medical products, appliances and equipment"
1/1/2000,2000,57.36,"Medical products, appliances and equipment"
1/1/2001,2001,26.06,Pharmaceutical and other medical products
1/1/2002,2002,27.91,Pharmaceutical and other medical products
1/1/2003,2003,30.34,Pharmaceutical and other medical products
1/1/2004,2004,32.72,Pharmaceutical and other medical products
1/1/2005,2005,35.51,Pharmaceutical and other medical products
1/1/2006,2006,38.67,Pharmaceutical and other medical products
1/1/2007,2007,41.74,Pharmaceutical and other medical products
1/1/2008,2008,45.31,Pharmaceutical and other medical products
1/1/2009,2009,47.64,Pharmaceutical and other medical products
1/1/2010,2010,51.82,Pharmaceutical and other medical products
1/1/2011,2011,56.57,Pharmaceutical and other medical products
1/1/2012,2012,61.21,Pharmaceutical and other medical products
1/1/2013,2013,63.18,Pharmaceutical and other medical products
1/1/2014,2014,65.52,Pharmaceutical and other medical products
1/1/2015,2015*,69.27,Pharmaceutical and other medical products
1/1/2016,2016*,71.88,Pharmaceutical and other medical products
1/1/2017,2017*,74.51,Pharmaceutical and other medical products
1/1/2018,2018*,77.49,Pharmaceutical and other medical products
1/1/2019,2019*,81.1,Pharmaceutical and other medical products
1/1/2000,2000,25.19,Pharmaceutical and other medical products
1/1/2001,2001,24,Pharmaceutical products (without prescription drugs)
1/1/2002,2002,25.74,Pharmaceutical products (without prescription drugs)
1/1/2003,2003,27.94,Pharmaceutical products (without prescription drugs)
1/1/2004,2004,29.99,Pharmaceutical products (without prescription drugs)
1/1/2005,2005,32.5,Pharmaceutical products (without prescription drugs)
1/1/2006,2006,35.28,Pharmaceutical products (without prescription drugs)
1/1/2007,2007,37.97,Pharmaceutical products (without prescription drugs)
1/1/2008,2008,41.48,Pharmaceutical products (without prescription drugs)
1/1/2009,2009,43.86,Pharmaceutical products (without prescription drugs)
1/1/2010,2010,47.82,Pharmaceutical products (without prescription drugs)
1/1/2011,2011,52.35,Pharmaceutical products (without prescription drugs)
1/1/2012,2012,56.67,Pharmaceutical products (without prescription drugs)
1/1/2013,2013,58.43,Pharmaceutical products (without prescription drugs)
1/1/2014,2014,60.56,Pharmaceutical products (without prescription drugs)
1/1/2015,2015*,63.94,Pharmaceutical products (without prescription drugs)
1/1/2016,2016*,66.24,Pharmaceutical products (without prescription drugs)
1/1/2017,2017*,68.68,Pharmaceutical products (without prescription drugs)
1/1/2018,2018*,71.37,Pharmaceutical products (without prescription drugs)
1/1/2019,2019*,74.66,Pharmaceutical products (without prescription drugs)
1/1/2000,2000,23.24,Pharmaceutical products (without prescription drugs)
1/1/2001,2001,24,Nonprescription drugs
1/1/2002,2002,25.74,Nonprescription drugs
1/1/2003,2003,27.94,Nonprescription drugs
1/1/2004,2004,29.99,Nonprescription drugs
1/1/2005,2005,32.5,Nonprescription drugs
1/1/2006,2006,35.28,Nonprescription drugs
1/1/2007,2007,37.97,Nonprescription drugs
1/1/2008,2008,41.48,Nonprescription drugs
1/1/2009,2009,43.86,Nonprescription drugs
1/1/2010,2010,47.82,Nonprescription drugs
1/1/2011,2011,52.35,Nonprescription drugs
1/1/2012,2012,56.67,Nonprescription drugs
1/1/2013,2013,58.43,Nonprescription drugs
1/1/2014,2014,60.56,Nonprescription drugs
1/1/2015,2015*,63.94,Nonprescription drugs
1/1/2016,2016*,66.24,Nonprescription drugs
1/1/2017,2017*,68.68,Nonprescription drugs
1/1/2018,2018*,71.37,Nonprescription drugs
1/1/2019,2019*,74.66,Nonprescription drugs
1/1/2000,2000,23.24,Nonprescription drugs
1/1/2001,2001,2.06,Other medical products
1/1/2002,2002,2.17,Other medical products
1/1/2003,2003,2.4,Other medical products
1/1/2004,2004,2.74,Other medical products
1/1/2005,2005,3.01,Other medical products
1/1/2006,2006,3.39,Other medical products
1/1/2007,2007,3.77,Other medical products
1/1/2008,2008,3.83,Other medical products
1/1/2009,2009,3.79,Other medical products
1/1/2010,2010,4,Other medical products
1/1/2011,2011,4.21,Other medical products
1/1/2012,2012,4.54,Other medical products
1/1/2013,2013,4.75,Other medical products
1/1/2014,2014,4.96,Other medical products
1/1/2015,2015*,5.33,Other medical products
1/1/2016,2016*,5.63,Other medical products
1/1/2017,2017*,5.84,Other medical products
1/1/2018,2018*,6.12,Other medical products
1/1/2019,2019*,6.44,Other medical products
1/1/2000,2000,1.95,Other medical products
1/1/2001,2001,31.83,Therapeutic appliances and equipment
1/1/2002,2002,34.04,Therapeutic appliances and equipment
1/1/2003,2003,36.49,Therapeutic appliances and equipment
1/1/2004,2004,39.74,Therapeutic appliances and equipment
1/1/2005,2005,43.19,Therapeutic appliances and equipment
1/1/2006,2006,46.9,Therapeutic appliances and equipment
1/1/2007,2007,51.64,Therapeutic appliances and equipment
1/1/2008,2008,51.22,Therapeutic appliances and equipment
1/1/2009,2009,50.65,Therapeutic appliances and equipment
1/1/2010,2010,52.4,Therapeutic appliances and equipment
1/1/2011,2011,54.29,Therapeutic appliances and equipment
1/1/2012,2012,54.99,Therapeutic appliances and equipment
1/1/2013,2013,57.03,Therapeutic appliances and equipment
1/1/2014,2014,59.01,Therapeutic appliances and equipment
1/1/2015,2015*,61.71,Therapeutic appliances and equipment
1/1/2016,2016*,63.65,Therapeutic appliances and equipment
1/1/2017,2017*,65.61,Therapeutic appliances and equipment
1/1/2018,2018*,68.58,Therapeutic appliances and equipment
1/1/2019,2019*,71.66,Therapeutic appliances and equipment
1/1/2000,2000,32.17,Therapeutic appliances and equipment
1/1/2001,2001,18.8,Corrective eyeglasses and contact lenses
1/1/2002,2002,20.26,Corrective eyeglasses and contact lenses
1/1/2003,2003,21.1,Corrective eyeglasses and contact lenses
1/1/2004,2004,22.2,Corrective eyeglasses and contact lenses
1/1/2005,2005,23.77,Corrective eyeglasses and contact lenses
1/1/2006,2006,24.91,Corrective eyeglasses and contact lenses
1/1/2007,2007,27.11,Corrective eyeglasses and contact lenses
1/1/2008,2008,27.46,Corrective eyeglasses and contact lenses
1/1/2009,2009,28.24,Corrective eyeglasses and contact lenses
1/1/2010,2010,29.84,Corrective eyeglasses and contact lenses
1/1/2011,2011,31.61,Corrective eyeglasses and contact lenses
1/1/2012,2012,31.62,Corrective eyeglasses and contact lenses
1/1/2013,2013,32.61,Corrective eyeglasses and contact lenses
1/1/2014,2014,33.51,Corrective eyeglasses and contact lenses
1/1/2015,2015*,34.29,Corrective eyeglasses and contact lenses
1/1/2016,2016*,34.68,Corrective eyeglasses and contact lenses
1/1/2017,2017*,35.61,Corrective eyeglasses and contact lenses
1/1/2018,2018*,37.1,Corrective eyeglasses and contact lenses
1/1/2019,2019*,38.54,Corrective eyeglasses and contact lenses
1/1/2000,2000,19.91,Corrective eyeglasses and contact lenses
1/1/2001,2001,13.03,Therapeutic medical equipment
1/1/2002,2002,13.78,Therapeutic medical equipment
1/1/2003,2003,15.39,Therapeutic medical equipment
1/1/2004,2004,17.54,Therapeutic medical equipment
1/1/2005,2005,19.42,Therapeutic medical equipment
1/1/2006,2006,21.99,Therapeutic medical equipment
1/1/2007,2007,24.53,Therapeutic medical equipment
1/1/2008,2008,23.76,Therapeutic medical equipment
1/1/2009,2009,22.4,Therapeutic medical equipment
1/1/2010,2010,22.56,Therapeutic medical equipment
1/1/2011,2011,22.69,Therapeutic medical equipment
1/1/2012,2012,23.37,Therapeutic medical equipment
1/1/2013,2013,24.42,Therapeutic medical equipment
1/1/2014,2014,25.5,Therapeutic medical equipment
1/1/2015,2015*,27.42,Therapeutic medical equipment
1/1/2016,2016*,28.97,Therapeutic medical equipment
1/1/2017,2017*,30,Therapeutic medical equipment
1/1/2018,2018*,31.49,Therapeutic medical equipment
1/1/2019,2019*,33.12,Therapeutic medical equipment
1/1/2000,2000,12.26,Therapeutic medical equipment
